node_id,celltype
7227010,internal
7283193,internal
7313896,internal
7335439,internal
7371184,internal
7388340,internal
7394271,internal
7421507,internal
7422253,internal
7422595,internal
7429933,internal
7431625,internal
7439913,internal
7449767,internal
7467027,internal
7503199,internal
7515491,internal
7540581,internal
7555968,internal
7557604,internal
7563413,internal
7569260,internal
7571966,internal
7574701,internal
7582412,internal
7582489,internal
7587948,internal
7589765,internal
7590264,internal
7594047,internal
7600311,internal
7612147,internal
7616956,internal
7688300,internal
7690945,internal
7692008,internal
7694589,internal
7700444,internal
7719118,internal
7766016,internal
7786053,internal
7802210,internal
7807684,internal
7828725,internal
7829784,internal
7838405,internal
7840203,internal
7840791,internal
7843730,internal
7845346,internal
7851153,internal
7852250,internal
7864823,internal
7865652,internal
7865696,internal
7865767,internal
7868195,internal
7873135,internal
7874184,internal
7891312,internal
7897051,internal
7897469,internal
7901791,internal
7910624,internal
7916593,internal
7934904,internal
7935088,internal
7939890,internal
7939979,internal
7941642,internal
7941652,internal
7952981,internal
7962986,internal
7971031,internal
7977834,internal
7980189,internal
7980369,internal
7982307,internal
7982896,internal
7983899,internal
8007556,internal
8012953,internal
8019816,internal
8021456,internal
8025665,internal
8034919,internal
8037197,internal
8047280,internal
8052161,internal
8057753,internal
8059283,internal
8065380,internal
8065771,internal
8066542,internal
8068173,internal
8069365,internal
8069432,internal
8069478,internal
8070872,internal
8075484,internal
8078096,internal
8094859,internal
8102935,internal
8111135,internal
8118474,internal
8118929,internal
8118947,internal
8124177,internal
8127390,internal
8132513,internal
8135412,internal
8138616,internal
8140109,internal
8142831,internal
8161142,internal
8161148,internal
8167696,internal
8177199,internal
8177991,internal
8184598,internal
8193545,internal
8198238,internal
8198317,internal
8198416,internal
8198513,internal
8198913,internal
8199671,internal
8203947,internal
8229118,internal
8231264,internal
8238322,internal
8243455,internal
8244723,internal
8244823,internal
8245014,internal
8245146,internal
8245513,internal
8245692,internal
8245869,internal
8246081,internal
8246750,internal
8247451,internal
8247641,internal
8248631,internal
8248706,internal
8252067,internal
8253413,internal
8253620,internal
8254894,internal
8256186,internal
8257672,internal
8262302,internal
8262372,internal
8262503,internal
8263140,internal
8263285,internal
8270683,internal
8271034,internal
8271875,internal
8273369,internal
8274021,internal
8274902,internal
8276782,internal
8293958,internal
8297018,internal
8305958,internal
8307514,internal
8310087,internal
8310955,internal
8311264,internal
8313802,internal
8318678,internal
8318813,internal
8319311,internal
8338584,internal
8340950,internal
8347613,internal
8347720,internal
8347907,internal
8348277,internal
8349454,internal
8349553,internal
8370111,internal
8391330,internal
8393981,internal
8398900,internal
8399890,internal
8412625,internal
8413543,internal
8413663,internal
8419602,internal
8423405,internal
8427677,internal
8451818,internal
8461082,internal
8469124,internal
8471817,internal
8480221,internal
8480418,internal
8496618,internal
8504660,internal
8509534,internal
8509987,internal
8513389,internal
8529400,internal
8539175,internal
8540770,internal
8542422,internal
